,Disaster_Type,Event_Name,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Insured Damages_adjusted
77,Storm,Katrina,2005,8,29.0,2005,9.0,19.0,83250764.0
457,Storm,Tropical storm 'Ida',2021,8,28.0,2021,9.0,2.0,36000000.0
357,Storm,Hurricane Harvey,2017,8,25.0,2017,8.0,29.0,33163764.0
363,Storm,Hurricane 'Irma',2017,9,10.0,2017,9.0,28.0,32058305.0
236,Drought,,2012,6,,2012,12.0,,18883406.0
151,Storm,Hurricane Ike,2008,9,12.0,2008,9.0,16.0,18878301.0
56,Storm,Ivan,2004,9,15.0,2004,9.0,16.0,17215052.0
83,Storm,Rita,2005,9,23.0,2005,10.0,1.0,15678894.0
451,Storm,,2021,2,10.0,2021,2.0,20.0,15000000.0
79,Storm,"Hurricane ""Wilma""",2005,10,24.0,2005,10.0,24.0,14360757.0
391,Wildfire,Camp Fire,2018,6,1.0,2018,12.0,31.0,13488771.0
65,Storm,Charley,2004,8,13.0,2004,8.0,13.0,10902866.0
385,Storm,Hurricane Michael,2018,10,10.0,2018,10.0,11.0,10791017.0
371,Wildfire,"Tubbs, Atlas, Nuns Fires",2017,6,1.0,2017,12.0,31.0,10612404.0
429,Storm,Hurricane 'Laura',2020,8,27.0,2020,8.0,28.0,10469783.0
199,Storm,,2011,4,22.0,2011,4.0,29.0,9637083.0
201,Storm,,2011,5,20.0,2011,5.0,25.0,8311984.0
437,Wildfire,August Complex fire,2020,8,16.0,2020,10.0,1.0,7852337.0
61,Storm,Frances,2004,9,5.0,2004,9.0,5.0,7172938.0
71,Storm,Jeanne,2004,9,25.0,2004,9.0,26.0,7029479.0
342,Storm,Hurricane 'Matthew',2016,10,8.0,2016,10.0,12.0,5645032.0
383,Storm,Hurricane Florence,2018,9,12.0,2018,9.0,18.0,5395509.0
348,Flood,,2016,8,9.0,2016,8.0,16.0,2822516.0
399,Flood,,2019,3,14.0,2019,3.0,31.0,2649734.0
149,Flood,,2008,6,9.0,2008,6.0,30.0,503421.0
234,Storm,Hurricane Sandy,2012,10,28.0,2012,10.0,28.0,
